"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 02:53:17 UTC 2023","Mon Oct 16 02:53:20 UTC 2023","3336","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Oct 16 04:03:02 UTC 2023","Mon Oct 16 04:03:04 UTC 2023","2050","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Oct 16 02:43:32 UTC 2023","Mon Oct 16 02:44:30 UTC 2023","57826","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Oct 16 02:44:30 UTC 2023","Mon Oct 16 02:44:32 UTC 2023","1889","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Mon Oct 16 03:43:12 UTC 2023","Mon Oct 16 03:43:30 UTC 2023","17978","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Mon Oct 16 02:41:11 UTC 2023","Mon Oct 16 02:41:38 UTC 2023","27352","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Oct 16 03:20:17 UTC 2023","Mon Oct 16 03:20:32 UTC 2023","15472","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Mon Oct 16 02:22:51 UTC 2023","Mon Oct 16 02:23:01 UTC 2023","10547","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Oct 16 03:49:32 UTC 2023","Mon Oct 16 03:50:12 UTC 2023","40280","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Mon Oct 16 03:53:05 UTC 2023","Mon Oct 16 03:53:08 UTC 2023","3600","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Mon Oct 16 03:27:52 UTC 2023","Mon Oct 16 03:27:57 UTC 2023","4284","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Oct 16 02:32:49 UTC 2023","Mon Oct 16 02:32:58 UTC 2023","9011","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Mon Oct 16 03:51:14 UTC 2023","Mon Oct 16 03:51:17 UTC 2023","2158","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Oct 16 02:30:59 UTC 2023","Mon Oct 16 02:31:07 UTC 2023","7309","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Mon Oct 16 02:35:13 UTC 2023","Mon Oct 16 02:35:34 UTC 2023","21006","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Oct 16 03:27:34 UTC 2023","Mon Oct 16 03:27:39 UTC 2023","4225","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Mon Oct 16 02:24:13 UTC 2023","Mon Oct 16 02:24:41 UTC 2023","28880","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Mon Oct 16 03:06:01 UTC 2023","Mon Oct 16 03:06:01 UTC 2023","384","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Mon Oct 16 02:22:51 UTC 2023","Mon Oct 16 02:22:51 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Oct 16 02:44:42 UTC 2023","Mon Oct 16 02:45:41 UTC 2023","58962","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Mon Oct 16 03:43:50 UTC 2023","Mon Oct 16 03:43:51 UTC 2023","974","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Mon Oct 16 03:11:00 UTC 2023","Mon Oct 16 03:11:04 UTC 2023","3509","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon Oct 16 02:29:58 UTC 2023","Mon Oct 16 02:30:18 UTC 2023","20085","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Oct 16 03:21:06 UTC 2023","Mon Oct 16 03:21:08 UTC 2023","2308","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Oct 16 03:20:33 UTC 2023","Mon Oct 16 03:20:36 UTC 2023","3233","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Oct 16 02:53:20 UTC 2023","Mon Oct 16 02:53:37 UTC 2023","16991","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Oct 16 02:23:37 UTC 2023","Mon Oct 16 02:24:01 UTC 2023","23827","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Mon Oct 16 04:03:41 UTC 2023","Mon Oct 16 04:03:43 UTC 2023","1722","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
